name,description,vertical,subvertical,url
Debt-to-income ratio,"Simply put, this is the amount of debt a buyer has compared to their yearly income. Buyers don't need to be debt-free to secure loans -- loan officers are accustomed to working with certain kinds of debt, like student loans. But, if this ratio is too high, it could be hard for them to secure a loan (or it might result in a higher interest rate). ",Professional Services,,
ARV,"The term ""ARV"" in real estate stands for ""After Repair Value."" It refers to the value of a property after the home's repairs are complete and the house is ready to sell. It takes into account the total cost of the repairs and the estimated value of the home. This is a useful term for buyers who want to invest and then flip homes/properties.",Professional Services,,
Under contract,This term means a seller has accepted the buyer's offer but any contingencies have yet to be met. #UnderContract,Professional Services,,
Refinancing,"Refinancing is when you restructure your home loan, replacing your old loan with an entirely new loan that has different rates and payment structures. The main reason people refinance their home loans is to get a lower interest rate on their mortgage, and therefore lower not only the monthly payment but also the overall debt owed.",Professional Services,,
MLS,A MLS is a local or regional real estate service that compiles available properties for sale submitted by real estate brokers and agents. An MLS can only be accessed by real estate brokers and agents.Having access to the MLS is a huge advantage of working with a real estate professional.,Professional Services,,
Concierge services,"If a Realtor offers concierge services, that essentially means they act as real estate consultants in addition to providing basic agent services. It also means they're committed to forming relationships with their clients that last beyond the transaction. They can share connections and coordinate appointments with other professionals (like repairmen, contractors, cleaners, etc), arrange inspections, inform buyers on the specifics of the property (HOA fees, property taxes, etc), assist in finding refinishing and remodeling professionals, and more. They may also anticipate and alleviate the stress of moving and act as an "" enthusiastic welcome wagon"" by acclimating their clients to their new neighborhoods, linking clients to  local social activities. and relaying information about local things that suit the new residents' interests. ",Professional Services,,
As-is,"If a home is marked ""as-is,"" that indicates that the property owner or seller is unwilling to perform most or all repairs. It could also mean that it's priced typically lower than market pricing in the area. One thing to note -- ""as is"" refers to the time that the offer is written. If something happens to the property after the offer but before closing, then it ought to be brought back to the same condition as it was when the offer was composed. ",Professional Services,,
Backup offer,"When a buyer is interested in purchasing a property that's already under contract with someone else, then the buyer can submit a ""backup offer"" in case the 3 original one falls through. Legally, there can only be one backup offer. This could be a good thing to mention to ease the mind of potential buyers who may feel they've missed out on a home they've fallen in love with. ",Professional Services,,
Buyer’s agent/listing agent,"A buyer's agent represents the buyer -- it's their job to locate the buyer's next property and negotiate to represent their interests. Alternatively, a listing agent represents the seller -- it's their job to market their clients' properties and negotiate on behalf of their interests. It's helpful to understand which (or both) ""side"" your customer is on so that you can appeal to the correct audience(s).",Professional Services,,
Closing costs,"""Closing costs"" refer to an assortment of fees that are paid out at the end of a real estate transaction. They can include, but aren't limited to, fees charged by: the lender, the title company, real estate agents taxing authorities, insurance companies, HOAs, or attorneys. For transparency, it can be helpful to also mention or refer to closing costs when educating your clients' audiences about budgeting. A real estate transaction costs more than the price of the home.",Professional Services,,
Days on market (DOM),"This phrase refers to the the number of days from the date when the property is listed on the MLS to to the date when the seller has signed a contract with the buyer for the sale of the property. Typically, this number is lower in the spring than the winter, since homes tend to sell faster in the warmer months. ",Professional Services,,
Fixer-upper,"In real estate vernacular, a fixer-upper is a property that will require repair, though it usually can be lived in or used as it is. They are popular with buyers who wish to raise the property's potential value to get a return on their investment (I.e. ""flip the house"") , or as a starter home for buyers on a budget. ",Professional Services,,
Interest rates,"We know that interest rates are the lowest they've been in a while, but how does a lender calculate what an interest rate might look like for an individual buyer? Here are some factors they might consider when making that decision: Credit score -- if a buyer's credit score is higher, their interest rate will likely be lower. Down payment -- if a client puts less than 20% down on a property purchase, the lender might require mortgage insurance, which requires a slightly higher interest rate. Loan term -- in general, shorter-term loans have lower interest rates and lower overall costs, but higher monthly payments. Interest rate type -- fixed interest rates are locked in, but adjustable rates fluctuate based on the market after an initial period. This means clients might qualify for a lower rate early on, but the rate could gradually increase. This topic is an educational content minefield. Feel free to pick and choose different aspects to draw attention to, and to teach your clients' audiences how they could potentially qualify for lower interest rates.",Professional Services,,https://www.instagram.com/p/CPBqyUVhzUs/
Open shelving,"Open shelving refers to shelves that are not encased and have a bookcase-type design. They are a great way to show off pretty kitchenware, momentos, and decor. They also may help make small rooms, like kitchens, seem bigger. Use a beautiful stock image to highlight and share this trendy design tip. ",Professional Services,,https://www.instagram.com/p/CO0fBgKhmKk/
Foreclosure ,"Foreclosure is the process of a lender seizing and selling a property to a new buyer when the owner fails to make their mortgage payments as agreed. It enables the lender to recover at least some of the mortgage balance that is left. In some states, there must be a legal process in court before the home can be taken. Other states offer options that don't require a court to get involved. They also might be priced to sell quickly because of the lender’s need to recoup their losses.",Professional Services,,https://www.thebalance.com/what-is-a-foreclosure-1798185
